#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
5791at4891_2|contig_20:444954-447116  -            721 5791at4891           -            462  9.1e-198  654.8   0.1   1   1  1.2e-199  2.5e-197  653.4   0.1    17   461   201   699   198   700 0.88 -
1679at4891_2|contig_12:153198-157058  -           1287 5791at4891           -            462   1.3e-18   64.1   0.5   1   2   9.9e-08     2e-05   20.7   0.0    44   146   353   463   332   470 0.80 -
1679at4891_2|contig_12:153198-157058  -           1287 5791at4891           -            462   1.3e-18   64.1   0.5   2   2   6.5e-14   1.3e-11   41.0   0.1   227   404   691   864   672   890 0.73 -
2020at4891_2|contig_7:328925-332143   -           1073 5791at4891           -            462   5.1e-13   45.7   0.2   1   2   8.9e-07   0.00018   17.5   0.0    44   146   173   281   163   312 0.82 -
2020at4891_2|contig_7:328925-332143   -           1073 5791at4891           -            462   5.1e-13   45.7   0.2   2   2   2.6e-09   5.4e-07   25.8   0.0   246   316   490   564   476   663 0.77 -
15766at4891_4|contig_14:922473-924236 -            588 5791at4891           -            462   1.7e-05   20.9   0.2   1   1   1.5e-07   3.1e-05   20.0   0.2   217   319   453   549   436   586 0.75 -
11037at4891_2|contig_22:119761-121053 -            431 5791at4891           -            462   2.7e-05   20.2   0.7   1   3      0.14        29    0.4   0.0    44    97    49   114    44   126 0.68 -
11037at4891_2|contig_22:119761-121053 -            431 5791at4891           -            462   2.7e-05   20.2   0.7   2   3      0.31        63   -0.7   0.1   360   418   182   241   160   270 0.75 -
11037at4891_2|contig_22:119761-121053 -            431 5791at4891           -            462   2.7e-05   20.2   0.7   3   3   2.6e-06   0.00054   15.9   1.0   203   361   257   420   244   426 0.79 -
9846at4891_1|contig_16:311642-313858  -            739 5791at4891           -            462   2.8e-05   20.2   0.9   1   2     0.053        11    1.8   0.1   308   401   355   452   351   467 0.75 -
9846at4891_1|contig_16:311642-313858  -            739 5791at4891           -            462   2.8e-05   20.2   0.9   2   2   1.8e-06   0.00036   16.5   0.1   206   326   473   594   461   646 0.79 -
