#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3060at4891_2|contig_16:48934-51762      -            943 3060at4891           -            763         0 1120.7  41.2   1   1         0         0 1100.4  41.2     1   763     1   942     1   942 0.86 -
2851at4891_2|contig_12:490170-492617    -            816 3060at4891           -            763   3.7e-50  168.1  16.2   1   4   1.3e-08   4.9e-07   25.5   0.2    13   146    15   150     5   151 0.68 -
2851at4891_2|contig_12:490170-492617    -            816 3060at4891           -            763   3.7e-50  168.1  16.2   2   4   1.3e-17   4.8e-16   55.3   0.6    32   168    80   229    63   236 0.82 -
2851at4891_2|contig_12:490170-492617    -            816 3060at4891           -            763   3.7e-50  168.1  16.2   3   4      0.16         6    2.1   0.1    96   128   386   418   379   449 0.58 -
2851at4891_2|contig_12:490170-492617    -            816 3060at4891           -            763   3.7e-50  168.1  16.2   4   4   8.5e-35   3.2e-33  112.1   4.2   383   598   453   670   439   679 0.90 -
4206at4891_2|contig_26:118102-120855    -            918 3060at4891           -            763     4e-38  128.3  16.0   1   7   3.7e-09   1.4e-07   27.3   2.6   354   532    39   220    37   224 0.72 -
4206at4891_2|contig_26:118102-120855    -            918 3060at4891           -            763     4e-38  128.3  16.0   2   7   5.7e-08   2.1e-06   23.4   0.0    55   146   259   351   239   354 0.90 -
4206at4891_2|contig_26:118102-120855    -            918 3060at4891           -            763     4e-38  128.3  16.0   3   7   3.7e-14   1.4e-12   43.8   0.1    60   129   349   418   346   430 0.91 -
4206at4891_2|contig_26:118102-120855    -            918 3060at4891           -            763     4e-38  128.3  16.0   4   7   5.8e-09   2.2e-07   26.7   0.1    58   129   432   504   423   510 0.90 -
4206at4891_2|contig_26:118102-120855    -            918 3060at4891           -            763     4e-38  128.3  16.0   5   7     0.015      0.56    5.5   0.0   416   452   512   548   506   553 0.89 -
4206at4891_2|contig_26:118102-120855    -            918 3060at4891           -            763     4e-38  128.3  16.0   6   7       1.1        39   -0.6   0.0   101   139   580   618   567   636 0.67 -
4206at4891_2|contig_26:118102-120855    -            918 3060at4891           -            763     4e-38  128.3  16.0   7   7      0.29        11    1.2   0.3   534   604   820   891   803   896 0.80 -
16921at4891_9|contig_26:99454-100452    -            333 3060at4891           -            763   7.7e-33  110.8  10.1   1   3   1.1e-16   4.1e-15   52.2   0.8    61   177     9   138     3   165 0.82 -
16921at4891_9|contig_26:99454-100452    -            333 3060at4891           -            763   7.7e-33  110.8  10.1   2   3   3.6e-08   1.3e-06   24.0   0.0   517   577   191   252   183   257 0.86 -
16921at4891_9|contig_26:99454-100452    -            333 3060at4891           -            763   7.7e-33  110.8  10.1   3   3     2e-12   7.4e-11   38.1   1.3   501   573   260   332   255   333 0.96 -
16921at4891_6|contig_6:255886-256704    -            273 3060at4891           -            763   5.6e-31  104.7  10.8   1   3   1.8e-11   6.8e-10   35.0   0.5    74   149     2    75     1    76 0.95 -
16921at4891_6|contig_6:255886-256704    -            273 3060at4891           -            763   5.6e-31  104.7  10.8   2   3   1.1e-13   4.2e-12   42.2   1.3   465   549    70   151    69   163 0.91 -
16921at4891_6|contig_6:255886-256704    -            273 3060at4891           -            763   5.6e-31  104.7  10.8   3   3   1.7e-11   6.1e-10   35.1   0.1   513   575   204   264   195   271 0.89 -
17077at4891_7|contig_20:675144-676478   -            445 3060at4891           -            763   1.2e-28   96.9   3.3   1   3   4.4e-12   1.6e-10   37.0   0.2   470   553   143   226   123   229 0.90 -
17077at4891_7|contig_20:675144-676478   -            445 3060at4891           -            763   1.2e-28   96.9   3.3   2   3   2.2e-13   8.1e-12   41.3   0.0    61   144   223   306   220   311 0.94 -
17077at4891_7|contig_20:675144-676478   -            445 3060at4891           -            763   1.2e-28   96.9   3.3   3   3     5e-07   1.9e-05   20.3   0.1    27   126   315   421   307   425 0.76 -
3606at4891_2|contig_4:201583-203973     -            797 3060at4891           -            763   1.9e-28   96.3   5.0   1   3     0.028         1    4.6   0.0    53    86   463   496   438   502 0.79 -
3606at4891_2|contig_4:201583-203973     -            797 3060at4891           -            763   1.9e-28   96.3   5.0   2   3   6.3e-18   2.3e-16   56.3   1.2   456   578   520   643   516   650 0.95 -
3606at4891_2|contig_4:201583-203973     -            797 3060at4891           -            763   1.9e-28   96.3   5.0   3   3   1.3e-11     5e-10   35.4   0.1    57   127   652   723   637   728 0.84 -
16921at4891_8|contig_26:80163-80855     -            231 3060at4891           -            763   1.1e-26   90.5   0.3   1   2   1.8e-13   6.7e-12   41.6   0.0    62   127     4    69     1    76 0.93 -
16921at4891_8|contig_26:80163-80855     -            231 3060at4891           -            763   1.1e-26   90.5   0.3   2   2     2e-14   7.2e-13   44.8   0.1   415   548    77   230    72   231 0.85 -
15960at4891_0|contig_19:620356-621267   -            304 3060at4891           -            763   5.1e-26   88.3   5.0   1   2   3.4e-17   1.3e-15   53.9   0.0    34   172    12   154     2   197 0.77 -
15960at4891_0|contig_19:620356-621267   -            304 3060at4891           -            763   5.1e-26   88.3   5.0   2   2   7.8e-11   2.9e-09   32.9   3.3   467   577   166   283   162   288 0.75 -
17074at4891_2|contig_20:54833-56221     -            463 3060at4891           -            763     5e-24   81.7   8.6   1   4      0.12       4.5    2.5   0.0   278   323   155   205   124   209 0.71 -
17074at4891_2|contig_20:54833-56221     -            463 3060at4891           -            763     5e-24   81.7   8.6   2   4   6.5e-08   2.4e-06   23.2   0.3   497   587   211   307   176   310 0.77 -
17074at4891_2|contig_20:54833-56221     -            463 3060at4891           -            763     5e-24   81.7   8.6   3   4   2.1e-14   7.7e-13   44.7   0.4    58   167   266   380   260   385 0.90 -
17074at4891_2|contig_20:54833-56221     -            463 3060at4891           -            763     5e-24   81.7   8.6   4   4   4.4e-11   1.6e-09   33.7   0.4   498   572   387   463   381   463 0.95 -
665at4891_4|contig_14:188455-192051     -           1199 3060at4891           -            763   3.9e-23   78.7   4.7   1   2   1.2e-17   4.4e-16   55.4   0.4   429   573    21   165    12   168 0.93 -
665at4891_4|contig_14:188455-192051     -           1199 3060at4891           -            763   3.9e-23   78.7   4.7   2   2   2.6e-08   9.6e-07   24.5   0.4   475   574   223   323   201   337 0.88 -
2368at4891_2|contig_12:134999-137800    -            934 3060at4891           -            763     1e-22   77.4   3.2   1   3   2.7e-08   9.9e-07   24.5   0.0    27   147   173   294   157   301 0.85 -
2368at4891_2|contig_12:134999-137800    -            934 3060at4891           -            763     1e-22   77.4   3.2   2   3   8.3e-06   0.00031   16.2   0.1    38   137   436   536   405   538 0.79 -
2368at4891_2|contig_12:134999-137800    -            934 3060at4891           -            763     1e-22   77.4   3.2   3   3   5.9e-12   2.2e-10   36.6   0.1    51   127   533   609   523   615 0.92 -
17074at4891_3|contig_25:163898-164776   -            293 3060at4891           -            763   8.9e-22   74.2   1.7   1   4   0.00042     0.016   10.6   0.0    94   127    10    44     4    52 0.79 -
17074at4891_3|contig_25:163898-164776   -            293 3060at4891           -            763   8.9e-22   74.2   1.7   2   4   2.6e-07   9.5e-06   21.2   0.1    90   134    68   110    60   114 0.86 -
