#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22405at4891_2|contig_26:231021-231950   -            310 22405at4891          -            265  1.9e-136  450.8   8.7   1   1    5e-138  1.3e-135  448.0   8.7     1   265     8   305     8   305 0.92 -
14739at4891_2|contig_22:235194-236399   -            402 22405at4891          -            265   4.9e-67  223.3   0.2   1   1   4.5e-69   1.2e-66  222.0   0.2     3   257    14   311    13   318 0.81 -
22405at4891_9|contig_7:574041-574883    -            281 22405at4891          -            265   2.7e-62  207.7   1.5   1   1     1e-62   2.7e-60  201.2   1.5    17   257     1   280     1   281 0.84 -
13634at4891_2|contig_12:308204-309595   -            464 22405at4891          -            265   6.4e-62  206.5   1.8   1   2   6.6e-13   1.8e-10   37.9   0.0     2    45    43    86    42    99 0.94 -
13634at4891_2|contig_12:308204-309595   -            464 22405at4891          -            265   6.4e-62  206.5   1.8   2   2   3.6e-52   9.7e-50  166.6   1.4    54   260   134   356   123   363 0.87 -
14739at4891_4|contig_13:632968-634200   -            411 22405at4891          -            265   3.2e-55  184.5   2.3   1   3   1.2e-57   3.2e-55  184.5   2.3     3   258    13   287    11   294 0.86 -
14739at4891_4|contig_13:632968-634200   -            411 22405at4891          -            265   3.2e-55  184.5   2.3   2   3       1.4   3.8e+02   -2.6   0.1    75    94   325   344   322   363 0.69 -
14739at4891_4|contig_13:632968-634200   -            411 22405at4891          -            265   3.2e-55  184.5   2.3   3   3      0.65   1.7e+02   -1.5   0.4   151   189   356   394   350   397 0.86 -
13634at4891_9|contig_14:877982-878938   -            319 22405at4891          -            265   1.5e-41  139.7   4.4   1   2   5.1e-06    0.0014   15.3   0.0    17    49     4    36     1    60 0.89 -
13634at4891_9|contig_14:877982-878938   -            319 22405at4891          -            265   1.5e-41  139.7   4.4   2   2   2.4e-37   6.5e-35  118.0   3.6    60   257    91   318    77   319 0.79 -
13634at4891_9|contig_14:46379-47347     -            323 22405at4891          -            265   2.9e-41  138.8   2.8   1   2   0.00061      0.16    8.5   0.0    17    49     4    36     1    70 0.89 -
13634at4891_9|contig_14:46379-47347     -            323 22405at4891          -            265   2.9e-41  138.8   2.8   2   2   5.8e-41   1.6e-38  129.8   1.3    64   257   117   323   107   323 0.90 -
33397at4891_1|contig_14:1119188-1119979 -            264 22405at4891          -            265    0.0037   13.8   0.1   1   1   2.2e-05    0.0059   13.2   0.1    25   120    88   193    85   219 0.72 -
32172at4891_6|contig_13:106986-107651   -            222 22405at4891          -            265    0.0053   13.3   0.0   1   1   3.4e-05     0.009   12.6   0.0    21    69    12    69     8    75 0.67 -
3331at4891_2|contig_27:105861-108116    -            752 22405at4891          -            265    0.0062   13.1   1.1   1   3   0.00039       0.1    9.1   0.0    26    59   229   262   213   307 0.84 -
3331at4891_2|contig_27:105861-108116    -            752 22405at4891          -            265    0.0062   13.1   1.1   2   3      0.63   1.7e+02   -1.4   0.3   151   185   468   501   403   509 0.79 -
3331at4891_2|contig_27:105861-108116    -            752 22405at4891          -            265    0.0062   13.1   1.1   3   3      0.12        32    0.9   0.0    24    43   560   579   540   588 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/22405at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/22405at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/22405at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:14:00 2024
# [ok]
