# BUSCO version is: 5.6.1 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2024-01-08, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	contig_16	87681	102410	+	4422.4	3069	https://v10-1.orthodb.org/?query=0at4891	Midasin
6at4891	Complete	contig_22	260469	249235	-	4252.1	2822	https://v10-1.orthodb.org/?query=6at4891	PIK-related kinase
23at4891	Complete	contig_16	381970	391401	+	2474.5	2164	https://v10-1.orthodb.org/?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	contig_7	164246	157608	-	3449.4	1774	https://v10-1.orthodb.org/?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	contig_16	135687	144548	+	1717.7	1681	https://v10-1.orthodb.org/?query=50at4891	Protein Csf1
61at4891	Complete	contig_14	1343576	1353379	+	2068.3	1804	https://v10-1.orthodb.org/?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	contig_22	126280	133521	+	3299.1	1825	https://v10-1.orthodb.org/?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	contig_19	661666	654968	-	3355.2	1830	https://v10-1.orthodb.org/?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	contig_13	151001	159016	+	2038.9	1509	https://v10-1.orthodb.org/?query=93at4891	Translational activator Gcn1
95at4891	Complete	contig_14	149534	143100	-	3250.4	1789	https://v10-1.orthodb.org/?query=95at4891	Glutamate synthase, alpha subunit, C-terminal
115at4891	Complete	contig_6	105286	98423	-	1745.3	1434	https://v10-1.orthodb.org/?query=115at4891	Cell morphogenesis central region
145at4891	Complete	contig_4	314439	307336	-	1239.4	1233	https://v10-1.orthodb.org/?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	contig_4	748337	756697	+	356.4	243	https://v10-1.orthodb.org/?query=154at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
170at4891	Complete	contig_19	148558	155214	+	2382.8	1575	https://v10-1.orthodb.org/?query=170at4891	DNA polymerase epsilon catalytic subunit
