#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35082at4891_9|contig_7:616547-617329    -            261 35082at4891          -            200   1.6e-70  233.8   9.0   1   1   5.2e-68   3.4e-65  216.3   9.0     1   200     4   260     4   260 0.85 -
38540at4891_3|contig_14:1143143-1144069 -            309 35082at4891          -            200   9.9e-20   67.9   0.6   1   4   4.8e-10   3.2e-07   27.1   0.0    13    85    24    94    14   103 0.88 -
38540at4891_3|contig_14:1143143-1144069 -            309 35082at4891          -            200   9.9e-20   67.9   0.6   2   4     0.014       9.5    2.7   0.0    95   121   145   172   132   183 0.77 -
38540at4891_3|contig_14:1143143-1144069 -            309 35082at4891          -            200   9.9e-20   67.9   0.6   3   4    0.0026       1.8    5.1   0.1   122   154   190   224   185   233 0.74 -
38540at4891_3|contig_14:1143143-1144069 -            309 35082at4891          -            200   9.9e-20   67.9   0.6   4   4   1.9e-10   1.3e-07   28.4   0.0   156   199   260   305   236   306 0.86 -
35082at4891|contig_22:449777-450271     -            165 35082at4891          -            200   2.1e-08   30.9   5.2   1   2   5.2e-05     0.035   10.7   0.1    94   135    77   121    65   124 0.78 -
35082at4891|contig_22:449777-450271     -            165 35082at4891          -            200   2.1e-08   30.9   5.2   2   2   2.7e-08   1.8e-05   21.4   1.9   160   196   126   163   122   165 0.87 -
13656at4891_2|contig_3:59362-60630      -            423 35082at4891          -            200    0.0026   14.3   0.0   1   2    0.0033       2.2    4.8   0.0    78   121   182   227   178   248 0.83 -
13656at4891_2|contig_3:59362-60630      -            423 35082at4891          -            200    0.0026   14.3   0.0   2   2     0.001      0.68    6.4   0.0    68   114   316   363   307   374 0.87 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/35082at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/35082at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/35082at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:15:05 2024
# [ok]
