#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17077at4891_7|contig_20:675144-676478   -            445 17077at4891          -            266  1.4e-126  418.5   4.1   1   1  4.1e-126  1.4e-124  411.9   4.1     1   266   120   420   120   420 0.91 -
3060at4891_2|contig_16:48934-51762      -            943 17077at4891          -            266     5e-40  134.8  16.7   1   7       4.8   1.7e+02   -1.4   0.0   147   165    40    58    38    65 0.58 -
3060at4891_2|contig_16:48934-51762      -            943 17077at4891          -            266     5e-40  134.8  16.7   2   7   5.6e-06    0.0002   18.1   0.0   103   143    85   126    79   130 0.87 -
3060at4891_2|contig_16:48934-51762      -            943 17077at4891          -            266     5e-40  134.8  16.7   3   7   3.4e-12   1.2e-10   38.5   2.0    11   126   118   231   117   284 0.88 -
3060at4891_2|contig_16:48934-51762      -            943 17077at4891          -            266     5e-40  134.8  16.7   4   7    0.0049      0.17    8.4   0.0    10    53   387   428   378   440 0.76 -
3060at4891_2|contig_16:48934-51762      -            943 17077at4891          -            266     5e-40  134.8  16.7   5   7   0.00021    0.0073   12.9   0.0    33    86   448   502   442   510 0.77 -
3060at4891_2|contig_16:48934-51762      -            943 17077at4891          -            266     5e-40  134.8  16.7   6   7   0.00027    0.0095   12.5   0.0    16    67   533   583   520   589 0.91 -
3060at4891_2|contig_16:48934-51762      -            943 17077at4891          -            266     5e-40  134.8  16.7   7   7   1.6e-16   5.6e-15   52.6   0.8    27   130   585   690   582   703 0.91 -
16921at4891_9|contig_26:99454-100452    -            333 17077at4891          -            266   1.4e-39  133.3  10.4   1   2   6.1e-19   2.1e-17   60.6   1.6    12   144     2   144     1   162 0.86 -
16921at4891_9|contig_26:99454-100452    -            333 17077at4891          -            266   1.4e-39  133.3  10.4   2   2   6.2e-24   2.1e-22   76.9   1.8    26   159   188   331   175   333 0.87 -
16921at4891_6|contig_6:255886-256704    -            273 17077at4891          -            266   7.8e-37  124.3   7.2   1   2   7.9e-29   2.7e-27   93.0   4.1    32   182     1   155     1   171 0.87 -
16921at4891_6|contig_6:255886-256704    -            273 17077at4891          -            266   7.8e-37  124.3   7.2   2   2   6.3e-10   2.2e-08   31.0   0.0    71   132   208   269   196   273 0.59 -
665at4891_4|contig_14:188455-192051     -           1199 17077at4891          -            266   7.2e-36  121.1   8.8   1   3       2.7        93   -0.5   0.0   100   129    14    43     2    49 0.74 -
665at4891_4|contig_14:188455-192051     -           1199 17077at4891          -            266   7.2e-36  121.1   8.8   2   3   5.2e-25   1.8e-23   80.5   0.3     8   127    47   167    39   174 0.93 -
665at4891_4|contig_14:188455-192051     -           1199 17077at4891          -            266   7.2e-36  121.1   8.8   3   3   1.6e-13   5.5e-12   42.8   0.4     9   126   204   323   198   349 0.73 -
2851at4891_2|contig_12:490170-492617    -            816 17077at4891          -            266   2.2e-35  119.5   6.9   1   5   4.7e-08   1.6e-06   24.9   0.2     9   180    56   196    21   202 0.50 -
2851at4891_2|contig_12:490170-492617    -            816 17077at4891          -            266   2.2e-35  119.5   6.9   2   5   5.4e-09   1.9e-07   28.0   0.1    30   130   117   229   114   245 0.76 -
2851at4891_2|contig_12:490170-492617    -            816 17077at4891          -            266   2.2e-35  119.5   6.9   3   5   3.3e-05    0.0011   15.6   0.0     9    86   383   468   379   478 0.83 -
2851at4891_2|contig_12:490170-492617    -            816 17077at4891          -            266   2.2e-35  119.5   6.9   4   5   4.9e-08   1.7e-06   24.8   0.0    11    63   488   539   474   545 0.89 -
2851at4891_2|contig_12:490170-492617    -            816 17077at4891          -            266   2.2e-35  119.5   6.9   5   5   5.8e-15     2e-13   47.5   0.3    28   125   546   645   539   654 0.93 -
3606at4891_2|contig_4:201583-203973     -            797 17077at4891          -            266   9.1e-35  117.5   1.6   1   3      0.34        12    2.4   0.0    19    50   471   501   457   506 0.76 -
