#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
11696at4891_2|contig_2:401773-403305    -            511 11696at4891          -            390  7.8e-205  677.6   4.3   1   1  2.4e-206  1.1e-204  677.1   4.3     6   390    84   511    79   511 0.91 -
6943at4891_1|contig_4:208656-209474     -            273 11696at4891          -            390   1.2e-23   81.1  11.4   1   3   1.2e-08   5.7e-07   26.2   0.4   255   333    49   140     7   152 0.81 -
6943at4891_1|contig_4:208656-209474     -            273 11696at4891          -            390   1.2e-23   81.1  11.4   2   3   4.6e-14   2.1e-12   44.1   0.2   217   333   109   230   104   236 0.89 -
6943at4891_1|contig_4:208656-209474     -            273 11696at4891          -            390   1.2e-23   81.1  11.4   3   3   3.9e-10   1.8e-08   31.1   0.9   225   329   163   269   145   272 0.83 -
15960at4891_0|contig_19:620356-621267   -            304 11696at4891          -            390   1.1e-18   64.8   6.4   1   2   7.2e-12   3.3e-10   36.9   0.2   229   330     5   105     2   109 0.83 -
15960at4891_0|contig_19:620356-621267   -            304 11696at4891          -            390   1.1e-18   64.8   6.4   2   2   2.2e-07     1e-05   22.1   0.1   218   330   120   237   109   252 0.84 -
8998at4891_7|contig_19:41018-42367      -            450 11696at4891          -            390   2.9e-17   60.1  12.3   1   4   4.4e-07     2e-05   21.1   3.1   210   331    73   192    66   201 0.87 -
8998at4891_7|contig_19:41018-42367      -            450 11696at4891          -            390   2.9e-17   60.1  12.3   2   4   1.4e-09   6.5e-08   29.3   0.8   195   330   136   276   135   282 0.81 -
8998at4891_7|contig_19:41018-42367      -            450 11696at4891          -            390   2.9e-17   60.1  12.3   3   4   1.1e-06   5.2e-05   19.8   0.0   215   330   204   319   196   328 0.84 -
8998at4891_7|contig_19:41018-42367      -            450 11696at4891          -            390   2.9e-17   60.1  12.3   4   4   1.3e-05    0.0006   16.3   0.0   235   331   267   365   261   384 0.77 -
4206at4891_2|contig_26:118102-120855    -            918 11696at4891          -            390   1.3e-16   58.0  11.5   1   5   4.5e-08   2.1e-06   24.3   2.4   183   367    58   269    34   273 0.67 -
4206at4891_2|contig_26:118102-120855    -            918 11696at4891          -            390   1.3e-16   58.0  11.5   2   5   1.3e-07   6.1e-06   22.8   0.1   263   330   349   416   335   420 0.87 -
4206at4891_2|contig_26:118102-120855    -            918 11696at4891          -            390   1.3e-16   58.0  11.5   3   5      0.54        25    1.1   0.0   124   158   433   467   426   474 0.87 -
4206at4891_2|contig_26:118102-120855    -            918 11696at4891          -            390   1.3e-16   58.0  11.5   4   5    0.0011     0.053    9.8   0.1   221   254   479   513   471   566 0.68 -
4206at4891_2|contig_26:118102-120855    -            918 11696at4891          -            390   1.3e-16   58.0  11.5   5   5       6.5     3e+02   -2.5   0.0   218   237   681   700   676   707 0.59 -
2568at4891_2|contig_14:683282-686707    -           1142 11696at4891          -            390   2.4e-16   57.1   1.8   1   2       1.1        50    0.0   0.1   207   226    55    74    49   102 0.67 -
2568at4891_2|contig_14:683282-686707    -           1142 11696at4891          -            390   2.4e-16   57.1   1.8   2   2   5.2e-18   2.4e-16   57.1   1.8   214   332   109   229    99   237 0.91 -
10099at4891_2|contig_4:594881-597400    -            840 11696at4891          -            390   1.9e-15   54.1   2.0   1   4    0.0053      0.25    7.6   0.0   212   246    14    48     8    56 0.88 -
10099at4891_2|contig_4:594881-597400    -            840 11696at4891          -            390   1.9e-15   54.1   2.0   2   4     0.022         1    5.6   0.0   290   333    69   111    66   118 0.88 -
10099at4891_2|contig_4:594881-597400    -            840 11696at4891          -            390   1.9e-15   54.1   2.0   3   4   1.1e-05   0.00048   16.6   0.2   255   328   133   206   120   213 0.89 -
10099at4891_2|contig_4:594881-597400    -            840 11696at4891          -            390   1.9e-15   54.1   2.0   4   4   1.1e-06   5.2e-05   19.8   0.1   248   330   301   385   292   404 0.81 -
29122at4891_2|contig_3:738061-739326    -            422 11696at4891          -            390   5.4e-15   52.6   4.0   1   3   1.2e-07   5.4e-06   23.0   0.5   195   330    72   209    24   218 0.78 -
29122at4891_2|contig_3:738061-739326    -            422 11696at4891          -            390   5.4e-15   52.6   4.0   2   3   1.1e-09   5.2e-08   29.6   0.1   226   298   239   310   222   315 0.83 -
29122at4891_2|contig_3:738061-739326    -            422 11696at4891          -            390   5.4e-15   52.6   4.0   3   3       3.4   1.5e+02   -1.6   0.0   281   328   371   418   351   419 0.76 -
