#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25443at4891_8|contig_25:509103-509843 -            247 25443at4891          -            235  4.1e-136  449.2   0.0   1   1    1e-138  4.6e-136  449.0   0.0     1   235     1   247     1   247 0.96 -
25443at4891_0|contig_14:407875-408768 -            298 25443at4891          -            235     3e-50  168.2   1.0   1   3   2.9e-13   1.3e-10   38.5   0.0     2    63     2    74     1   103 0.78 -
25443at4891_0|contig_14:407875-408768 -            298 25443at4891          -            235     3e-50  168.2   1.0   2   3   5.2e-17   2.3e-14   50.7   0.1    64   119   101   156    79   168 0.90 -
25443at4891_0|contig_14:407875-408768 -            298 25443at4891          -            235     3e-50  168.2   1.0   3   3   5.6e-25   2.5e-22   76.8   0.0   134   233   194   298   178   298 0.88 -
25443at4891_0|contig_3:217967-218848  -            294 25443at4891          -            235   6.8e-50  167.0   0.5   1   3   7.9e-14   3.5e-11   40.3   0.0     3    66     1    75     1    92 0.81 -
25443at4891_0|contig_3:217967-218848  -            294 25443at4891          -            235   6.8e-50  167.0   0.5   2   3   7.6e-17   3.4e-14   50.2   0.2    70   119   102   151    78   163 0.85 -
25443at4891_0|contig_3:217967-218848  -            294 25443at4891          -            235   6.8e-50  167.0   0.5   3   3   5.4e-24   2.4e-21   73.6   0.0   133   233   187   291   174   293 0.87 -
28600at4891_2|contig_3:842604-843293  -            230 25443at4891          -            235   6.3e-11   39.5   0.1   1   2     2e-12   8.8e-10   35.7   0.0     3   107    18   131    16   137 0.82 -
28600at4891_2|contig_3:842604-843293  -            230 25443at4891          -            235   6.3e-11   39.5   0.1   2   2     0.042        19    1.9   0.0   146   188   139   182   132   205 0.71 -
23379at4891_2|contig_25:151775-152578 -            268 25443at4891          -            235   3.3e-07   27.3   0.0   1   2   7.3e-09   3.2e-06   24.1   0.0     2    95     6   113     5   133 0.75 -
23379at4891_2|contig_25:151775-152578 -            268 25443at4891          -            235   3.3e-07   27.3   0.0   2   2     0.093        41    0.8   0.0   150   178   152   182   138   189 0.67 -
12837at4891_4|contig_7:121180-122517  -            446 25443at4891          -            235   0.00083   16.2   0.0   1   2    0.0004      0.18    8.6   0.0     5    61   223   284   219   294 0.78 -
12837at4891_4|contig_7:121180-122517  -            446 25443at4891          -            235   0.00083   16.2   0.0   2   2    0.0056       2.5    4.8   0.0   157   198   347   388   331   410 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/25443at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/25443at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/25443at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:13:57 2024
# [ok]
